title,artist,number_of_singers,year,popularity,duration_ms,image_url
Wagon Wheel,Darius Rucker,1,2013,80,298373,https://i.scdn.co/image/ab67616d0000b2733c814f8afa852904e9db8a9f
She's In Love With The Boy - Single Version,Trisha Yearwood,1,1991,71,248200,https://i.scdn.co/image/ab67616d0000b273a8635c8965518a6fb5eb160a
Back To Black,Amy Winehouse,1,2006,74,240440,https://i.scdn.co/image/ab67616d0000b2738f52f321140e4a76ea720c52
Sweet Caroline,Neil Diamond,1,1969,81,203573,https://i.scdn.co/image/ab67616d0000b2734d1a7a3e5043173883653ffc
Party In The U.S.A.,Miley Cyrus,1,2009,79,202066,https://i.scdn.co/image/ab67616d0000b273d6c3ad6a2a27471e1d5e8103
Wonderwall,Oasis,1,1995,74,258906,https://i.scdn.co/image/ab67616d0000b2732f2eeee9b405f4d00428d84c
Fly Me To The Moon (In Other Words),"Frank Sinatra, Count Basie",2,1962,75,147000,https://i.scdn.co/image/ab67616d0000b273cb81eb3c1238c60f2bbfd3b5
Something's Gotta Give,Sammy Davis Jr.,1,1990,61,125960,https://i.scdn.co/image/ab67616d0000b273fc4dd6aa077f52042964f3bb
Good as Hell (feat. Ariana Grande),"Lizzo, Ariana Grande",2,2019,70,159011,https://i.scdn.co/image/ab67616d0000b273bf7d271b8f3051af3cf0bf55
Hypnotize - 2014 Remaster,The Notorious B.I.G.,1,1997,84,229826,https://i.scdn.co/image/ab67616d0000b273fde79b88e2a659c394c5ae30
Since U Been Gone,Kelly Clarkson,1,2004,76,188960,https://i.scdn.co/image/ab67616d0000b27303dadde4d9d305c1c3e0d91c
Born to Fly,Sara Evans,1,2000,61,336360,https://i.scdn.co/image/ab67616d0000b2735b99d617fded680ebc20bd04
Sweet Home Alabama,Lynyrd Skynyrd,1,1974,85,283800,https://i.scdn.co/image/ab67616d0000b27317e1907923e91181f38290ac
I Love Rock 'N Roll,Joan Jett & The Blackhearts,1,1981,80,175173,https://i.scdn.co/image/ab67616d0000b2733c73b2e0a6aa490736f19751
Jessie's Girl,Rick Springfield,1,1981,75,194120,https://i.scdn.co/image/ab67616d0000b2734a57b8b911a372d77dfc1ba7
Sexual Healing,Marvin Gaye,1,1982,74,238600,https://i.scdn.co/image/ab67616d0000b27346e859872ed30a898160aeb2
Pony,Ginuwine,1,1999,78,251733,https://i.scdn.co/image/ab67616d0000b273980caf4dd525a15f08f8cb87
Baby Got Back,Sir Mix-A-Lot,1,1992,72,262826,https://i.scdn.co/image/ab67616d0000b273f82c7e4376cf8267fb396b7d
This Is How We Do It,"Montell Jordan, Wino",2,1995,68,238800,https://i.scdn.co/image/ab67616d0000b2730aba996870017b7e8cb5d8f1
Ice Ice Baby,Vanilla Ice,1,2008,75,254466,https://i.scdn.co/image/ab67616d0000b2730d441bd2334134eca6761fc4
No Diggity,"Blackstreet, Dr. Dre, Queen Pen",3,1996,81,304600,https://i.scdn.co/image/ab67616d0000b27303ca37157b9ceefbe8fe225b
Ms. Jackson,Outkast,1,2000,87,270506,https://i.scdn.co/image/ab67616d0000b2732350e31bc346a6c20e9de166
In Da Club,50 Cent,1,2003,80,193466,https://i.scdn.co/image/ab67616d0000b273f7f74100d5cc850e01172cbf
Hey Jude,The Beatles,1,2006,68,238854,https://i.scdn.co/image/ab67616d0000b27330503dbc30e621c96913379b
XXX's And OOO's (An American Girl),Trisha Yearwood,1,1995,65,167906,https://i.scdn.co/image/ab67616d0000b2739081ad23e96be83508a17571
Work It,Missy Elliott,1,2002,75,263226,https://i.scdn.co/image/ab67616d0000b27395d8583bba8f3cd794fa5bae
Drop It Like It's Hot,"Snoop Dogg, Pharrell Williams",2,2004,81,266066,https://i.scdn.co/image/ab67616d0000b273e803716268c173c3f9a0c057
Gold Digger,"Kanye West, Jamie Foxx",2,2005,83,207626,https://i.scdn.co/image/ab67616d0000b273428d2255141c2119409a31b2
This One's for the Girls,Martina McBride,1,2003,65,243160,https://i.scdn.co/image/ab67616d0000b2731afac23dd54e6420bf11b4a8
Whose Bed Have Your Boots Been Under?,Shania Twain,1,2004,61,238773,https://i.scdn.co/image/ab67616d0000b273e47667214dddedc5095afc11
One Way Ticket (Because I Can),LeAnn Rimes,1,1996,57,223973,https://i.scdn.co/image/ab67616d0000b2735f08fdb0b1ed6a804b830637
