spotify_id,title,artist,year,popularity,duration_ms,image_url
3xrn9i8zhNZsTtcoWgQEAd,Since U Been Gone,Kelly Clarkson,2004,73,188960,https://i.scdn.co/image/ab67616d0000b27303dadde4d9d305c1c3e0d91c
00Mb3DuaIH1kjrwOku9CGU,Sk8er Boi,Avril Lavigne,2002,77,204000,https://i.scdn.co/image/ab67616d0000b273f7ec724fbf97a30869d06240
5ghIJDpPoe3CfHMGu71E6T,Smells Like Teen Spirit,Nirvana,1991,79,301920,https://i.scdn.co/image/ab67616d0000b273e175a19e530c898d167d39bf
1zwMYTA5nlNjZxYrvBB2pV,Someone Like You,Adele,2011,79,285240,https://i.scdn.co/image/ab67616d0000b2731c88166762f2e18f8f23c6f1
3GfOAdcoc3X5GPiiXmpBjK,Song 2,Blur,2000,67,121880,https://i.scdn.co/image/ab67616d0000b27334cbf7013afccc7df67fa43f
1oHNvJVbFkexQc0BpQp7Y4,Starships,Nicki Minaj,2011,75,210626,https://i.scdn.co/image/ab67616d0000b27385235715597dcd07bb9e0f84
3mRM4NM8iO7UBqrSigCQFH,"Stayin' Alive - From ""Saturday Night Fever"" Soundtrack",Bee Gees,1979,67,285373,https://i.scdn.co/image/ab67616d0000b27352038992fc6d7868f31d23b7
2AVkArcfALVk2X8sfPRzya,Summer Nights - From “Grease”,"John Travolta, Olivia Newton-John",1978,72,216906,https://i.scdn.co/image/ab67616d0000b273b68df485f3304211904548a8
0GONea6G2XdnHWjNZd6zt3,Summer Of '69,Bryan Adams,1984,83,216053,https://i.scdn.co/image/ab67616d0000b273cf1fee2a55e98e22bf358512
62AuGbAkt8Ox2IrFFb8GKV,Sweet Caroline,Neil Diamond,1969,79,203573,https://i.scdn.co/image/ab67616d0000b2734d1a7a3e5043173883653ffc
7snQQk1zcKl8gZ92AnueZW,Sweet Child O' Mine,Guns N' Roses,1987,77,356066,https://i.scdn.co/image/ab67616d0000b27321ebf49b3292c3f0f575f0f5
1TfqLAPs4K3s2rJMoCokcS,Sweet Dreams (Are Made of This) - Remastered,"Eurythmics, Annie Lennox, Dave Stewart",1983,82,216933,https://i.scdn.co/image/ab67616d0000b273b3994c94dfb241923664bb4d
7e89621JPkKaeDSTQ3avtg,Sweet Home Alabama,Lynyrd Skynyrd,1974,83,283800,https://i.scdn.co/image/ab67616d0000b27317e1907923e91181f38290ac
7DnAm9FOTWE3cUvso43HhI,Sweet but Psycho,Ava Max,2020,81,187436,https://i.scdn.co/image/ab67616d0000b2739a95e89d24214b94de36ccf7
0cGG2EouYCEEC3xfa0tDFV,Tainted Love,Soft Cell,1981,78,153800,https://i.scdn.co/image/ab67616d0000b27349c982dae436bac27c336f45
3MrRksHupTVEQ7YbA0FsZK,The Final Countdown,Europe,1986,79,310333,https://i.scdn.co/image/ab67616d0000b2732d925cec3072ed1b74e5188f
6GG73Jik4jUlQCkKg9JuGO,The Middle,Jimmy Eat World,2001,80,165853,https://i.scdn.co/image/ab67616d0000b27395d1d98c5176e4f982bd73d6
1iD0a0plhO55cWEJa5UGcZ,The Science of Selling Yourself Short,Less Than Jake,2003,58,186266,https://i.scdn.co/image/ab67616d0000b27346b71e44bcda9ea6eba4182e
0HPD5WQqrq7wPWR7P7Dw1i,TiK ToK,Kesha,2010,82,199693,https://i.scdn.co/image/ab67616d0000b2737a6339d6ddfd579f77559b3c
2TVxnKdb3tqe1nhQWwwZCO,Tiny Dancer,Elton John,1971,78,377093,https://i.scdn.co/image/ab67616d0000b273d03ab2da904d8251a87bbc31
7wuJGgpTNzbUyn26IOY6rj,Total Eclipse of the Heart,Bonnie Tyler,2009,78,267360,https://i.scdn.co/image/ab67616d0000b2738cefe8e2f2cfd63ce073fa96
5ZBeML7Lf3FMEVviTyvi8l,Twist And Shout - Remastered 2009,The Beatles,1963,75,155226,https://i.scdn.co/image/ab67616d0000b273dbeec63ad914c973e75c24df
2yPoXCs7BSIUrucMdK5PzV,Umbrella,"Rihanna, JAY-Z",2007,69,275986,https://i.scdn.co/image/ab67616d0000b273b9ff0a5f40d3406aed5e5e3b
1mSClObliRtgPVT399COQH,Under Pressure,"Queen, David Bowie",1982,60,245506,https://i.scdn.co/image/ab67616d0000b27370f9e1cf71793ee37d5e6730
5zA8vzDGqPl2AzZkEYQGKh,Uptown Girl,Billy Joel,1983,79,197706,https://i.scdn.co/image/ab67616d0000b273814cbc4746358a25c84c62e7
27OeeYzk6klgBh83TSvGMA,WITHOUT YOU,The Kid LAROI,2020,81,161384,https://i.scdn.co/image/ab67616d0000b273df16d539f508603bfb1efe02
1EHUQesfVKwbthtNcpBi9g,WITHOUT YOU (with Miley Cyrus),"The Kid LAROI, Miley Cyrus",2021,75,161384,https://i.scdn.co/image/ab67616d0000b273c01093b31199328192c8e421
4TQeNHx85xcP9YRkvJC6K1,Walkin' On The Sun,Smash Mouth,1997,67,207786,https://i.scdn.co/image/ab67616d0000b27366ec7d795b727cd90bd09690
05wIrZSwuaVWhcv5FfqeH0,Walking On Sunshine,Katrina & The Waves,1985,80,238733,https://i.scdn.co/image/ab67616d0000b273eafaf556eda644a745d0144d
1Je1IMUlBXcx1Fz0WE7oPT,Wannabe,Spice Girls,1996,81,173026,https://i.scdn.co/image/ab67616d0000b27363facc42e4a35eb3aa182b59
6qspW4YKycviDFjHBOaqUY,Waterfalls,TLC,1994,74,279506,https://i.scdn.co/image/ab67616d0000b273a6125b1964a555892c49ea53
3Dy4REq8O09IlgiwuHQ3sk,Waterloo,ABBA,1974,74,168960,https://i.scdn.co/image/ab67616d0000b27311c24dc7f5ef909381c0a7d6
7AEAGTc8cReDqcbPoY9gwo,We Are Never Ever Getting Back Together,Taylor Swift,2012,61,191880,https://i.scdn.co/image/ab67616d0000b27396384c98ac4f3e7c2440f5b5
3LUWWox8YYykohBbHUrrxd,We R Who We R,Kesha,2010,73,204760,https://i.scdn.co/image/ab67616d0000b2733556ff5e46e50eb27be71ebe
4cluDES4hQEUhmXj6TXkSo,What Makes You Beautiful,One Direction,2012,85,199986,https://i.scdn.co/image/ab67616d0000b2734a5584795dc73860653a9a3e
2z4U9d5OAA4YLNXoCgioxo,What the Hell,Avril Lavigne,2011,75,220706,https://i.scdn.co/image/ab67616d0000b27372c9f7a7c75eba39726106a6
1qPbGZqppFwLwcBC1JQ6Vr,Wonderwall,Oasis,1995,72,258906,https://i.scdn.co/image/ab67616d0000b2732f2eeee9b405f4d00428d84c
2vwlzO0Qp8kfEtzTsCXfyE,Wrecking Ball,Miley Cyrus,2013,78,221360,https://i.scdn.co/image/ab67616d0000b2736b18d0490878750cd69abf2c
4YOJFyjqh8eAcbKFfv88mV,Y.M.C.A.,Village People,1978,65,286666,https://i.scdn.co/image/ab67616d0000b2736effa8520bc566806f680860
3GCL1PydwsLodcpv0Ll1ch,You Belong With Me,Taylor Swift,2008,71,231133,https://i.scdn.co/image/ab67616d0000b2737b25c072237f29ee50025fdc
1wb4P4F0sxAQ2KXrRvsx6n,You're Still The One,Shania Twain,1997,77,212200,https://i.scdn.co/image/ab67616d0000b273aaf012d56b8c72658da6c45f
0B9x2BRHqj3Qer7biM3pU3,You're The One That I Want - From “Grease”,"John Travolta, Olivia Newton-John",1978,76,169840,https://i.scdn.co/image/ab67616d0000b273b68df485f3304211904548a8
7EZC6E7UjZe63f1jRmkWxt,Zombie,The Cranberries,1994,82,306440,https://i.scdn.co/image/ab67616d0000b27372d481a5999197ef5f42f796
6P4d1NWBCNIYZjzF9k1mVN,good 4 u,Olivia Rodrigo,2021,65,178146,https://i.scdn.co/image/ab67616d0000b273bdf5ed83a765fd10a97f08f1
